Unnamed: 0,Path,Canonical,Transcript,Error,Error_GT
294,L2_arctic_WAV/ASI_arctic_b0321,"[24, 55, 46, 3, 52, 58, 67, 49, 7, 56, 39, 58, 40, 55, 63, 8, 55, 56, 3, 8, 39, 63, 8, 46, 52, 28, 8, 55, 58, 60]","[24, 55, 46, 52, 58, 67, 49, 8, 66, 56, 39, 58, 40, 55, 63, 8, 55, 56, 3, 8, 39, 63, 8, 46, 52, 28, 8, 55, 58, 60]","[1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
295,L2_arctic_WAV/ASI_arctic_b0371,"[29, 49, 30, 58, 29, 7, 46, 52, 30, 54, 3, 8, 63, 8, 36, 40, 3, 7, 70, 63, 64, 3, 7, 50, 24, 48, 24, 10, 64, 55, 58, 3, 52, 50, 24, 10, 64, 3, 29, 6]","[29, 49, 30, 58, 29, 6, 7, 46, 52, 30, 54, 25, 8, 63, 8, 36, 40, 25, 8, 70, 70, 64, 3, 7, 66, 24, 48, 24, 10, 64, 55, 58, 3, 52, 50, 24, 10, 64, 3, 29, 6]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
296,L2_arctic_WAV/ASI_arctic_b0396,"[63, 8, 48, 60, 55, 54, 50, 8, 68, 68, 56, 67, 7, 3, 55, 49, 36, 8, 70, 64, 59, 8, 55, 56, 70, 24, 10]","[63, 8, 48, 66, 60, 55, 54, 50, 8, 68, 68, 56, 67, 31, 3, 55, 49, 36, 8, 70, 64, 59, 8, 55, 56, 70, 24, 10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
297,L2_arctic_WAV/ASI_arctic_b0411,"[67, 49, 59, 60, 39, 55, 14, 50, 49, 70, 8, 55, 37, 8, 3, 67, 24, 70, 68, 14, 3, 24, 39, 36, 40, 70, 17, 37, 39, 49, 8, 46, 24, 55, 8, 54]","[67, 49, 59, 60, 39, 55, 14, 66, 49, 70, 8, 55, 37, 8, 25, 67, 24, 70, 68, 14, 25, 24, 36, 40, 70, 17, 39, 49, 8, 46, 24, 55, 8, 54]","[1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
298,L2_arctic_WAV/ASI_arctic_b0433,"[36, 49, 7, 28, 31, 28, 24, 10, 17, 55, 63, 8, 28, 14, 30, 46, 3, 14, 39, 8, 55, 58, 40, 55, 63, 49, 57, 30, 37, 7, 55, 7, 70]","[41, 49, 7, 28, 6, 28, 24, 10, 17, 55, 63, 8, 28, 14, 30, 46, 3, 14, 39, 8, 55, 58, 40, 55, 63, 49, 57, 30, 37, 31, 55, 7, 46]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
299,L2_arctic_WAV/ERMS_arctic_a0003,"[54, 50, 7, 63, 8, 3, 36, 52, 55, 3, 49, 8, 22, 3, 56, 68, 63, 64, 3, 49, 39, 55, 24, 10, 63, 8, 3, 6, 68, 52, 55, 9, 31, 28, 67, 64, 55, 70]","[54, 50, 7, 63, 8, 3, 36, 52, 55, 3, 49, 8, 22, 3, 56, 68, 58, 64, 3, 49, 53, 49, 55, 24, 10, 58, 8, 3, 6, 68, 52, 10, 9, 31, 28, 67, 64, 55, 46]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]"
300,L2_arctic_WAV/ERMS_arctic_a0005,"[36, 24, 30, 36, 49, 52, 39, 7, 54, 7, 59, 52, 3, 24, 3]","[36, 24, 30, 36, 49, 52, 39, 7, 54, 7, 59, 52, 3, 24, 3]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
301,L2_arctic_WAV/ERMS_arctic_a0006,"[59, 17, 58, 37, 30, 52, 46, 8, 68, 56, 67, 14, 48, 56, 30, 59, 14, 40, 55, 46, 49, 24, 10, 63, 52, 68, 54, 7, 52, 39, 7]","[59, 17, 58, 37, 30, 52, 46, 8, 68, 56, 67, 14, 48, 56, 30, 59, 14, 34, 55, 46, 49, 24, 10, 58, 52, 68, 54, 7, 52, 39, 7]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
302,L2_arctic_WAV/ERMS_arctic_a0007,"[8, 55, 58, 29, 6, 40, 30, 36, 49, 70, 36, 17, 55, 3, 3, 8, 46, 49, 24, 3, 24, 55, 63, 8, 46, 31, 48, 7, 30, 8, 3, 24, 39, 58, 24, 59, 50, 49]","[8, 55, 58, 29, 14, 40, 30, 36, 49, 70, 36, 17, 55, 3, 55, 8, 46, 49, 24, 3, 24, 55, 63, 11, 46, 31, 48, 7, 30, 8, 3, 24, 39, 58, 24, 59, 50, 49]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
303,L2_arctic_WAV/ERMS_arctic_a0008,"[59, 64, 58, 29, 31, 50, 30, 52, 3, 7, 28, 60, 68, 69, 8, 46, 3, 24, 55, 3, 56, 68]","[59, 64, 58, 29, 31, 50, 30, 52, 3, 7, 28, 60, 68, 29, 8, 46, 3, 49, 55, 3, 56, 68]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0]"
304,L2_arctic_WAV/ERMS_arctic_a0010,"[56, 68, 48, 30, 60, 24, 10, 8, 46, 24, 10, 59, 8, 30, 67, 64, 55, 58, 24, 55, 36, 8, 3, 30, 31, 28, 46, 30, 56, 28, 8, 30, 6, 70, 24, 10, 59, 60, 68]","[56, 68, 48, 30, 60, 24, 10, 8, 46, 49, 10, 59, 8, 30, 67, 20, 55, 58, 24, 10, 36, 8, 3, 30, 31, 28, 46, 30, 56, 28, 8, 30, 6, 46, 24, 10, 59, 60, 68]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
305,L2_arctic_WAV/ERMS_arctic_a0011,"[24, 54, 56, 52, 39, 7, 55, 49, 58, 24, 58, 8, 54, 56, 3, 7, 24, 55, 68, 56, 30, 56, 54, 56, 55, 49, 58, 36, 8, 55, 55, 15]","[24, 54, 56, 52, 53, 7, 55, 49, 58, 24, 58, 8, 54, 56, 3, 7, 24, 10, 68, 56, 30, 56, 54, 56, 55, 49, 58, 36, 8, 55, 55, 15]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
306,L2_arctic_WAV/ERMS_arctic_a0013,"[67, 49, 36, 8, 70, 8, 67, 52, 58, 9, 40, 50, 3, 7, 63, 64, 55, 67, 24, 70, 28, 8, 68, 48, 64, 55, 29, 8, 55, 8, 39, 40, 30, 68, 14, 46, 3, 58, 52, 30, 8, 28, 8, 3, 54, 8, 70, 49, 28]","[67, 49, 36, 8, 46, 8, 67, 52, 58, 35, 40, 50, 3, 7, 58, 64, 55, 67, 24, 46, 28, 8, 68, 48, 64, 55, 29, 8, 55, 8, 39, 40, 30, 68, 14, 46, 3, 58, 52, 30, 8, 28, 60, 3, 54, 54, 49, 46, 49, 28]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 0, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0]"
307,L2_arctic_WAV/ERMS_arctic_a0018,"[63, 52, 50, 36, 8, 70, 8, 35, 60, 55, 69, 55, 15]","[58, 52, 50, 36, 8, 46, 8, 35, 60, 55, 69, 55, 15]","[0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0]"
308,L2_arctic_WAV/ERMS_arctic_a0019,"[56, 54, 17, 30, 14, 58, 63, 8, 30, 56, 55, 8, 39, 63, 8, 48, 50, 8, 48, 14, 70, 58, 50, 60, 30, 50, 14, 58, 30, 31, 28, 24, 10, 54, 7, 35, 64, 55, 46, 8, 70]","[56, 54, 40, 30, 14, 61, 58, 8, 30, 56, 55, 8, 39, 58, 8, 48, 50, 8, 48, 14, 46, 50, 60, 50, 14, 58, 30, 31, 28, 24, 10, 54, 7, 35, 64, 55, 46, 8, 46]","[1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
309,L2_arctic_WAV/ERMS_arctic_a0020,"[28, 30, 8, 37, 70, 8, 55, 58, 37, 40, 30, 70, 8, 55, 58, 46, 24, 3, 49, 70, 59, 50, 6, 3, 6, 37, 49, 14, 55, 30, 49, 68, 52, 68, 7, 50, 49, 70]","[47, 30, 8, 37, 46, 8, 55, 58, 37, 40, 30, 70, 8, 55, 58, 46, 49, 3, 49, 70, 59, 50, 6, 3, 6, 37, 49, 14, 55, 30, 49, 68, 52, 68, 14, 50, 49, 46]","[0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]","[1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
310,L2_arctic_WAV/ERMS_arctic_a0021,"[24, 3, 54, 52, 50, 30, 49, 28, 30, 8, 37, 58, 68, 49, 24, 55, 3, 6, 50, 52, 28, 8, 59, 55, 56, 70, 24, 10, 24, 3]","[24, 3, 54, 52, 30, 49, 28, 30, 20, 37, 58, 68, 49, 49, 55, 3, 6, 50, 52, 28, 8, 59, 55, 56, 46, 24, 10, 24, 3]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
311,L2_arctic_WAV/ERMS_arctic_a0022,"[67, 17, 50, 58, 30, 49, 36, 7, 17, 50, 48, 30, 64, 55, 70, 68, 60, 58, 48, 8, 37, 30, 24, 28, 37, 24, 54, 40, 50, 36, 49, 36, 7, 68, 52, 3, 37, 56, 48, 15, 7, 54, 8, 30, 17, 48, 8, 70, 24, 9, 8, 55]","[67, 17, 58, 30, 49, 36, 7, 17, 50, 48, 30, 64, 55, 46, 68, 60, 58, 48, 8, 37, 30, 24, 28, 37, 24, 54, 40, 36, 49, 36, 7, 68, 52, 3, 37, 56, 48, 15, 7, 54, 8, 38, 17, 48, 8, 46, 49, 9, 8, 55]","[1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 0, 0, 1, 1, 1]","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0]"
312,L2_arctic_WAV/ERMS_arctic_a0023,"[8, 28, 17, 68, 37, 8, 55, 60, 9, 8, 55, 8, 39, 28, 8, 55, 60, 58, 49, 8, 55, 28, 64, 48, 8, 3, 8, 30, 28, 36, 24, 28, 30, 49, 40, 50, 59, 8, 55, 56, 70, 58, 8, 55, 58, 48, 8, 3, 24, 9, 8, 55, 58, 54, 50, 7, 63, 8, 46, 60, 68, 48, 50, 24, 39, 24, 30, 8, 69, 8, 70]","[8, 28, 17, 68, 37, 49, 55, 60, 9, 8, 10, 8, 39, 28, 8, 55, 60, 58, 49, 8, 55, 28, 64, 48, 24, 3, 8, 28, 36, 24, 28, 30, 49, 40, 50, 59, 8, 55, 56, 46, 3, 8, 55, 58, 48, 8, 3, 49, 9, 8, 55, 58, 54, 50, 7, 63, 8, 46, 60, 68, 48, 50, 24, 39, 24, 30, 8, 9, 8, 46]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]"
313,L2_arctic_WAV/ERMS_arctic_a0024,"[24, 3, 36, 8, 70, 68, 56, 50, 24, 48, 40, 50, 3, 46, 54, 50, 8, 68, 63, 8, 55, 40, 50, 22, 67, 36, 24, 35, 35, 49, 54, 30, 49, 24, 55, 58, 6, 46, 3, 48, 49, 48, 8, 30, 3, 24, 37, 56]","[24, 3, 36, 8, 46, 68, 56, 50, 24, 48, 40, 50, 3, 46, 54, 50, 8, 68, 63, 8, 55, 40, 50, 3, 67, 36, 49, 35, 35, 49, 54, 30, 49, 24, 55, 58, 6, 46, 3, 48, 49, 48, 8, 30, 3, 24, 37, 56]","[1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
314,L2_arctic_WAV/ERMS_arctic_a0025,"[56, 36, 8, 70, 8, 37, 15, 3, 3, 6, 58, 6, 63, 24, 46, 67, 36, 52, 55, 28, 6, 30, 7, 69, 8, 69, 68, 8, 55, 3, 48, 50, 24, 39, 60, 30, 58]","[56, 36, 8, 46, 8, 37, 15, 3, 3, 6, 58, 6, 63, 49, 46, 67, 36, 52, 55, 28, 6, 30, 7, 69, 8, 69, 68, 8, 55, 3, 48, 50, 24, 37, 60, 30, 3]","[1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0]","[0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1]"
315,L2_arctic_WAV/ERMS_arctic_a0026,"[24, 3, 8, 28, 7, 58, 3, 6, 68, 49, 63, 64, 3, 63, 52, 50, 36, 31, 58, 67, 64, 39, 3, 6, 37, 49, 64, 55, 8, 28, 15, 55, 3, 24, 10]","[24, 3, 8, 28, 29, 7, 58, 3, 6, 68, 49, 58, 64, 3, 58, 52, 50, 36, 31, 58, 67, 20, 37, 3, 6, 37, 49, 64, 55, 8, 28, 40, 55, 3, 24, 10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0]"
316,L2_arctic_WAV/ERMS_arctic_a0027,"[3, 8, 68, 56, 46, 7, 48, 50, 56, 70, 67, 49, 37, 49, 59, 64, 55, 3, 8, 9, 14, 64, 28, 9, 8, 30, 24, 55, 22, 6, 70, 49, 64, 70, 8, 68, 24, 55, 68, 56, 54, 60, 39, 7]","[3, 8, 68, 56, 46, 7, 48, 50, 56, 46, 67, 49, 37, 49, 59, 20, 55, 3, 8, 9, 14, 64, 28, 9, 8, 30, 24, 55, 3, 6, 46, 49, 64, 46, 8, 68, 24, 55, 68, 56, 54, 64, 39, 7]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]"
317,L2_arctic_WAV/ERMS_arctic_a0028,"[50, 17, 37, 7, 49, 37, 50, 56, 37, 7, 49, 54, 50, 40, 58]","[50, 17, 37, 7, 49, 37, 50, 56, 37, 7, 49, 54, 50, 40, 58]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
318,L2_arctic_WAV/ERMS_arctic_a0029,"[63, 52, 50, 54, 40, 50, 46, 24, 70, 36, 7, 40, 50, 52, 58, 49, 68, 6, 39, 24, 10, 24, 55, 3, 6, 63, 8, 55, 40, 50, 22, 28, 8, 55, 3, 50, 49]","[58, 52, 50, 54, 40, 50, 46, 24, 70, 36, 23, 40, 50, 52, 58, 49, 68, 6, 53, 24, 10, 49, 55, 3, 6, 58, 8, 55, 40, 50, 3, 28, 8, 55, 3, 50, 49]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]"
319,L2_arctic_WAV/ERMS_arctic_a0030,"[56, 67, 64, 58, 54, 60, 22, 24, 55, 63, 52, 68]","[56, 67, 64, 58, 54, 60, 3, 24, 55, 58, 52, 68]","[1, 1, 1, 1, 1, 1, 0, 1, 1, 0, 1, 1]","[0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0]"
320,L2_arctic_WAV/ERMS_arctic_a0031,"[63, 60, 36, 7, 22, 50, 49, 67, 8, 55, 58, 7, 58, 29, 17, 50, 58, 70, 8, 48, 17, 50, 3]","[58, 60, 36, 7, 3, 50, 49, 67, 20, 55, 58, 7, 58, 29, 17, 50, 58, 46, 8, 48, 17, 50, 3]","[0, 1, 1, 1, 0, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1]","[1, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0]"
321,L2_arctic_WAV/ERMS_arctic_a0032,"[46, 24, 55, 46, 63, 52, 55, 46, 8, 68, 68, 24, 46, 3, 24, 50, 49, 8, 46, 54, 40, 50, 46, 67, 64, 70, 37, 24, 55, 54, 56, 3, 24, 10, 8, 46, 64, 3, 52, 39, 7, 49, 46, 3, 52, 48]","[46, 49, 55, 70, 58, 52, 55, 46, 8, 68, 68, 24, 46, 3, 24, 50, 49, 8, 46, 54, 40, 50, 46, 67, 64, 70, 37, 24, 55, 54, 56, 3, 24, 10, 8, 46, 64, 3, 52, 39, 7, 49, 46, 3, 52, 48]","[1, 0, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
322,L2_arctic_WAV/ERMS_arctic_a0036,"[9, 49, 3, 7, 55, 58, 24, 55, 64, 3, 63, 8, 67, 14, 3, 52, 30]","[9, 49, 3, 7, 55, 3, 24, 55, 64, 3, 58, 52, 67, 14, 3, 52, 30]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0]"
323,L2_arctic_WAV/ERMS_arctic_a0037,"[56, 36, 8, 70, 63, 49, 14, 55, 30, 49, 36, 8, 55, 67, 6, 50, 49, 68, 60, 55, 58, 46, 24, 3, 24, 10]","[56, 36, 8, 70, 63, 49, 14, 55, 30, 49, 36, 20, 10, 67, 6, 50, 49, 68, 60, 55, 3, 46, 49, 3, 49, 10]","[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 1]","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 1, 0]"
324,L2_arctic_WAV/ERMS_arctic_a0038,"[36, 24, 30, 67, 64, 39, 3, 8, 36, 17, 35, 17, 50, 35, 64, 55, 46, 24, 70]","[36, 24, 30, 67, 64, 37, 3, 8, 36, 17, 35, 17, 50, 35, 64, 55, 46, 24, 46]","[1, 1, 1, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
325,L2_arctic_WAV/ERMS_arctic_a0039,"[63, 8, 9, 24, 48, 9, 31, 58, 37, 49, 24, 55, 36, 24, 63, 24, 55, 8, 36, 49, 28, 7, 3, 52, 55, 58, 60, 70]","[58, 8, 9, 49, 48, 9, 31, 58, 37, 49, 49, 10, 36, 24, 63, 49, 10, 8, 36, 49, 28, 7, 3, 52, 55, 58, 60, 46]","[0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0]","[1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]"
